"Seattle, WA, US",Macy's Locker Room District Mgr in Training (DMIT),"Essential Duties And Responsibilities DRIVE sales by delivering exceptional customer service per the Operations P&P Manual. Successfully complete the DMIT Training Program to enhance core skill set (ie: recruiting, developing, coaching, leading and training). Train store personnel on ...",Consumer Goods
Greater Seattle Area,Executive Assistant and Office Manager,"We are looking for an exceptional Executive Assistant and Office Manager to join Donuts Inc. Must have strong attention to detail, organizational skills, a strong work ethic and the ability to communicate effectively with others. Must also uphold the highest level of integrity and business ...",Recreational
"Seattle, WA",Territory Representative,"The Culture: You get a seat at the table…have input and influence with management and executive leadership on everything from product development, comp plans, strategy and company policy. Incentive based compensation...earn what you're worth, control your own destiny thru realistic, attainable ...",Recreational
Greater Seattle Area,Director of Tax,Freestone is searching for qualified candidates to manage our corporate and fund tax function as the Director of Tax. Successful candidates for this position will have a demonstrated track record of mangement and/or professional achievement in the financial services industry. Job ...,Legal
Greater Seattle Area,Content Coordinator,"Content Coordinator The Bulletproof team is looking for a seasoned, self-motivated content coordinator with a strong entrepreneurial spirit to help us build a world-class company and grow our knowledge base. Bulletproof is a high performance team of experienced entrepreneurs and biohackers...",Educational
Washington,BI Analyst (Power BI),Develop and build quick reports/Dashboard prototypes in Microsoft BI tools to facilitate data insight conversations. Support development of business/data insights content for Executive needs to facilitate the MBR and MYR conversation. Help develop the BI and analytics strategy for the group. ...,High Tech
"Bellevue, WA, US",Lids Assistant Manager Full-Time,"Generate Sales Produce sales gains, by providing customer service. To meet or exceed Company Objectives in all individual statistics. Learn to provide consistent, documented appraisal of an associate’s sales performance. Provide support by giving feedback on areas of strength and ...",Manufacturing
"Seattle, WA, US",Macy's Locker Room Assistant Manager Full-Time,"Generate Sales Produce sales gains, by providing customer service. To meet or exceed Company Objectives in all individual statistics. Learn to provide consistent, documented appraisal of an associate’s sales performance. Provide support by giving feedback on areas of strength and ...",Consumer Goods
"Silverdale, WA, US",Macy's Locker Room District Mgr in Training (DMIT),"Essential Duties And Responsibilities DRIVE sales by delivering exceptional customer service per the Operations P&P Manual. Successfully complete the DMIT Training Program to enhance core skill set (ie: recruiting, developing, coaching, leading and training). Train store personnel on ...",Consumer Goods
"Silverdale, WA, US",Macy's Locker Room Assistant Manager Full-Time,"Generate Sales Produce sales gains, by providing customer service. To meet or exceed Company Objectives in all individual statistics. Learn to provide consistent, documented appraisal of an associate’s sales performance. Provide support by giving feedback on areas of strength and ...",Consumer Goods
"Silverdale, WA, US",Lids Assistant Manager Full-Time,"Generate Sales Produce sales gains, by providing customer service. To meet or exceed Company Objectives in all individual statistics. Learn to provide consistent, documented appraisal of an associate’s sales performance. Provide support by giving feedback on areas of strength and ...",Manufacturing
"Bellevue, WA, US",Macy's Locker Room Part-Time Sales Help,"Generate Sales Produce sales gains, by providing customer service. Meet or exceed Company Objectives in all individual statistics. Participate in store maintenance per the current visual guidelines including: proper merchandising, signage and store cleanliness. Maintain a ...",Consumer Goods
"Seattle, WA, US",Lids Part-Time Sales Help,"Generate Sales Produce sales gains, by providing customer service. Meet or exceed Company Objectives in all individual statistics. Participate in store maintenance per the current visual guidelines including: proper merchandising, signage and store cleanliness. Maintain a ...",Consumer Goods
"Redmond, WA, US",Macy's Locker Room Part-Time Sales Help,"Generate Sales Produce sales gains, by providing customer service. Meet or exceed Company Objectives in all individual statistics. Participate in store maintenance per the current visual guidelines including: proper merchandising, signage and store cleanliness. Maintain a ...",Consumer Goods
"Seattle, WA, US",Macy's Locker Room Part-Time Sales Help,"Generate Sales Produce sales gains, by providing customer service. Meet or exceed Company Objectives in all individual statistics. Participate in store maintenance per the current visual guidelines including: proper merchandising, signage and store cleanliness. Maintain a ...",Consumer Goods
"Silverdale, WA, US",Macy's Locker Room Part-Time Sales Help,"Generate Sales Produce sales gains, by providing customer service. Meet or exceed Company Objectives in all individual statistics. Participate in store maintenance per the current visual guidelines including: proper merchandising, signage and store cleanliness. Maintain a ...",Consumer Goods
"Seattle, WA, US",Lids Assistant Manager Part-Time,"Generate Sales Produce sales gains, by providing customer service. To meet or exceed Company Objectives in all individual statistics. Learn to provide consistent, documented appraisal of an associate’s sales performance. Provide support by giving feedback on areas of strength and ...",Manufacturing
"Seattle, WA, US",Macy's Locker Room Assistant Manager Part-Time,"Generate Sales Produce sales gains, by providing customer service. To meet or exceed Company Objectives in all individual statistics. Learn to provide consistent, documented appraisal of an associate’s sales performance. Provide support by giving feedback on areas of strength and ...",Consumer Goods
"Silverdale, WA, US",Macy's Locker Room Assistant Manager Part-Time,"Generate Sales Produce sales gains, by providing customer service. To meet or exceed Company Objectives in all individual statistics. Learn to provide consistent, documented appraisal of an associate’s sales performance. Provide support by giving feedback on areas of strength and ...",Consumer Goods
"Lynnwood, WA, US",Buyer/Purchaser,"Accountemps is currently hiring a purchaser for a 6 month project in Lynnwood. We are looking for purchasers or buyers with 2+ years of experience and a customer-focused approach. Must have experience in contract negotiations, terms and conditions, amendments, conducting invitations to bids and ...",Construction
"Redmond, WA, US",CT/X-Ray Technologist,Listing InfoThe CT Technologist participates with the imaging center team to deliver exemplary patient care and customer service while performing a variety of CT and X-ray exams.Shift: Monday through Thursday 11:00 PM - 9:00 AMResponsibilitiesCustomer and Patient Satisfaction: Proactively and ...,Medical
"Lynnwood, WA, US",Staff Accountant,"Lynnwood Accountemps is ramping up for year end and we need qualified Staff Accountants who can help our clients with reconciliations and year end close as well as other operational accounting tasks. If you are looking for either temporary or temporary to full time work this quarter, please send ...",Finance
"Redmond, WA, US",Project Manager,"Job DescriptionWe are seeking an experienced, proficient, customer-facing Project Manager. In addition to traditional project management responsibilities, this position will also manage the customer relationship and identify other potential revenue resources within that company.Manage the ...",Finance
"Bellevue, WA, US",Lids Store Manager,"Generate Sales Produce sales gains, by providing customer service. Meet or Exceed Company Objectives in all measurable areas of the business. Provide consistent assessment of each associate’s sales performance and work within the store to give feedback on areas of strength and ...",Consumer Goods
"Seattle, WA, US",Lids Store Manager,"Generate Sales Produce sales gains, by providing customer service. Meet or Exceed Company Objectives in all measurable areas of the business. Provide consistent assessment of each associate’s sales performance and work within the store to give feedback on areas of strength and ...",Consumer Goods
"Seattle, WA, US",Macy's Locker Room Store Manager,"Generate Sales Produce sales gains, by providing customer service. Meet or Exceed Company Objectives in all measurable areas of the business. Provide consistent assessment of each associate’s sales performance and work within the store to give feedback on areas of strength and ...",Consumer Goods
San Francisco Bay Area,Product Manager,"Slack is looking for an experienced Product Manager to guide the design, development, and support of features on our core product. Do you get excited about building and shipping beautiful products? Do you enjoy diving into details with your team and helping them succeed? Do you write great ...",Consumer Goods
San Francisco -CA,Staff Accountant,"Publicly traded Financial Services/Technology Company seeks a full-time, Staff Accountant for its corporate headquarters in the SF. The position will report directly to the Corporate Accounting Manager. The candidate must be very flexible and highly committed to quality, customer service, and ...",Finance
Richmond -CA,Staff Accountant,A reputable and growing retailer in the East Bay seeks a Staff Accountant for an immediate opening. The Staff Accountant will focus on cost and inventory but will have exposure to all aspects of the accounting cycle. This is a great opportunity for a Staff Accountant with 1+ years of experience ...,Corporate
San Francisco -CA,Staff Accountant - San Francisco SaaS Company,High growth opportunity to join a SaaS company in San Francisco as a Staff Accountant. This company is building out a talented Accounting team in San Francisco. They want a Staff Accountant who is hungry for exposure and knowledge. Incredible mentorship possibility here and the potential for CPA ...,High Tech
San Francisco Bay Area,iOS Engineer,We are seeking a talented and driven iOS Engineer to join our mobile team. You will be part of a team developing our consumer iOS application while building out standalone libraries that can be integrated into our application as well as other projects. Specific Responsibilities: • Collaborating ...,High Tech
"San Francisco, CA, US",Procurement Manager,Listing Info JOB SUMMARY Provide leadership and direction to the Procurement Finance organizationPrimary Responsibilities Ownership of accounting and finance processes Participate with senior stakeholders in establishing strategic plans and objectives. Driving processes improvement ...,Manufacturing
"San Francisco, CA, US",Analytics Engineer (SF),"Listing InfoReports to VP Engineering.The CompanyFliptop's customer intelligence platform uses data science to help companies close more sales. Our software seamlessly integrates with the most popular CRM and marketing automation systems, and models historical sales to predict how likely new ...",High Tech
"Berkeley, CA, US",Business Systems Analyst,"Listing Info BUSINESS SYSTEMS ANALYST JOB SUMMARY D ev e lop solutions to complex bu s in ess and related technology problem s for the Office of the CFO, and is responsible for supporting system us ers...",Educational
"San Francisco, CA, US",Ad Operations Specialist,"About UsGraphScience is a social data and advertising company delivering the highest impact branding and revenue for top retailers, CPGs, and brands. Our powerful technology platform manages and analyzes big data, builds a brand's social graph, and generates advertising performance at scale. ...",Media
"San Francisco, CA, US",Senior Data Scientist,"Listing InfoReports to VP Engineering.The CompanyFliptop's customer intelligence platform uses data science to help companies close more sales. Our software seamlessly integrates with the most popular CRM and marketing automation systems, and models historical sales to predict how likely new ...",High Tech
"San Francisco, CA, US",Accessibility Product Manager - San Francisco,"Slack is looking for an expert in the area of web and native application accessibility to guide the design, development, and support of features on our core product. Are you passionate about bringing the content and features of the next generation of web applications to everyone? Do you obsess ...",High Tech
"San Francisco, CA, US",Product Manager - San Francisco,"Slack is looking for an experienced Product Manager to guide the design, development, and support of features on our core product. Do you get excited about building and shipping beautiful products? Do you enjoy diving into details with your team and helping them succeed? Do you write great ...",Consumer Goods
"San Francisco, CA, US",Ad Operations Intern,"About UsGraphScience is a social data and advertising company delivering the highest impact branding and revenue for top retailers, CPGs, and brands. Our powerful technology platform manages and analyzes big data, builds a brand's social graph, and generates advertising performance at scale. ...",Media
"Berkeley, CA, US",Technical Writer,"Listing Info TECHNICAL WRITER JOB SUMMARY Provide executive administrative / program analyst support by assisting in report preparation / updates, plans development, procedure documentation, environmental reporting, and records management.Primary Responsibilities· With project team, analyzes ...",Educational
"San Francisco, CA, US",Data Analytics Manager,"About UsGraphScience is a social data and advertising company delivering the highest impact branding and revenue for top retailers, CPGs, and brands. Our powerful technology platform manages and analyzes big data, builds a brand's social graph, and generates advertising performance at scale. ...",High Tech
"San Francisco, CA, US",Senior Account Manager,"About UsGraphScience is a social data and advertising company delivering the highest impact branding and revenue for top retailers, CPGs, and brands. Our powerful technology platform manages and analyzes big data, builds a brand's social graph, and generates advertising performance at scale. ...",High Tech
"San Francisco, CA, US",Ad Operations Manager,"About UsGraphScience is a social data and advertising company delivering the highest impact branding and revenue for top retailers, CPGs, and brands. Our powerful technology platform manages and analyzes big data, builds a brand's social graph, and generates advertising performance at scale. ...",Media
"San Francisco, CA, US",Sales Executive,"Listing InfoThe ideal candidate will be upbeat, driven, well-organized, share a passion for technology and a love for working in a fast-paced start-up environment. If you are looking for a dynamic and challenging role, working alongside a team of proven stars, we encourage you to apply....",Media
San Francisco Bay Area,Educational Copywriter,About BrightBytes BrightBytes (BB) is a mission-driven organization that is the world’s leading provider of research analytics to K-12 Schools. BB was founded by educators working closely with industry experts who care deeply about learning in the 21st century. The organization’s flagship ...,Corporate
"San Francisco, CA, US",Contracts Manager,"Slack is looking for a pleasant, supportive, and exceptionally talented person to be the first Contracts Manager in our legal department. The Contracts Manager will help draft, analyze, negotiate, close, and track all commercial agreements across the company. You’ll work closely with the ...",Legal
"San Francisco, CA, US","Product Manager, Mobile - San Francisco","Slack is looking for an experienced Product Manager to guide the design, development, and support of features across our Android and iOS apps. Do you get excited about building and shipping beautiful products? Do you enjoy diving into details with your team and helping them succeed? Do you write ...",Consumer Goods
"San Francisco, CA, US",Customer Experience & Accounts Project Manager,"As Project Manager of Customer Experience and Accounts at Slack you'll be working closely with the Accounts and Customer Experience teams to identify requirements for upcoming projects and drive those initiatives through to delivery. You will ensure the work is well understood, is resourced ...",Consumer Goods
"San Francisco, CA, US","Manager, Corporate Recruiting","Listing InfoSlack is looking for a Corporate Recruiting Manager to lead efforts in growing our Global Business and Operations Teams (Customer Experience, Finance & Accounting, Accounts, Marketing, IT, Global Facilities and People). As our Corporate Recruiting Manager, you will play a pivotal role...",Corporate
"San Francisco, CA, US",AIR QUALITY MANAGER,"Listing Info JOB SUMMARY Provide technical assistance on environmental safety compliance services including permitting, reporting, program development and implementation, and training in the area of air quality management.Primary Responsibilities Provides technical guidance on air quality / ...",Manufacturing
"San Francisco, CA, US",Customer Experience Analyst,"Slack is looking for a metrics-loving individual to join as our Customer Experience team's data analyst and system admin. Slack's Customer Experience team is global and growing. This person needs to have a strong understanding of customer support ticketing systems and the logic behind them, as ...",Consumer Goods
San Francisco Bay Area,DevOps Engineer,"We’re looking for a DevOps Engineer to develop applications, manage deployment, monitor and provide operational support for new platforms and application stacks. Specific Responsibilities: Build software and systems to manage infrastructure and applications through automation. Measure and ...",High Tech
San Francisco Bay Area,Backend Engineer,"As a Backend Engineer, you’ll design, develop and release scalable distributed systems for the Hello infrastructure. Specific Responsibilities: Develop high quality, highly available systems for Hello services Manage projects including real time data synchronization and large-scale data ...",High Tech
San Francisco -CA,Staff Accountant - Prestigious Private Equity Firm!,"Are you looking to break into Private Equity? If so, a prestigious Private Equity Firm located in Menlo Park is looking for its next Staff Accountant to join its finance team. The Private Equity firm with 25 years of history and approximately $1.7b AUM invests in the consumer, healthcare, energy ...",Finance
San Francisco Bay Area,DevOps Engineer,"The Role: Indiegogo is looking for a talented DevOps Engineer jump right in and be a part our DevOps team. We are a dynamic small team that works very closely with engineering to manage a number of projects including performance, configuration and database administration. Our app has incredible ...",High Tech
San Francisco -CA,Private Equity Accountant,"Are you looking to break into Private Equity? If so, a prestigious Private Equity Firm located in San Francisco is looking for its next Senior Accountant to join its finance team. The Private Equity firm with 25 years of history and approximately $10B AUM invests in the consumer, healthcare, ...",Finance
"San Francisco, CA, US",Technical Writer,"Slack is looking for an experienced Technical Writer to work with our design and product teams. Do you have a great eye for balance and copy? Do you mentally re-write poorly written sentences, such as this one? Are you good at adopting and maintaining the “voice” of a product?Great. Come work ...",Service
"San Francisco, CA, US",Business Operations Project Manager,"As Project Manager of the Business Operations Team at Slack you'll be working closely with the teams across the G&A function including Finance, Accounting, People Operations, Recruiting, IT, and Facilities. You will be responsible for documenting current business processes and identifying ...",Consumer Goods
"San Francisco, CA, US",Application Engineer,"Slack is looking for an experienced application engineer to help write new features, design and build useful API methods, and improve the reliability of our systems as we quickly grow.Our main tools that we use to build Slack are PHP, MySQL, and Linux -- reliable tools that the Slack team knows ...",Educational
"San Francisco, CA, US",Desktop Application Engineer,"Slack is looking for an experienced developer to work on the Slack Desktop application, to bring new features to Slack’s desktop apps across Mac, Windows, and Linux.The Slack Desktop apps are built using diverse technologies such as Electron, io.js, ES6, MacGap, RxJS, and Objective-C, and a...",Consumer Goods
"Fairfield, CA, US",Junior Financial Analyst,"Accountemps is looking for someone recently degreed with either an Economics, Accounting or Business degree to work at our Benicia based client as a entry level Financial Analyst. Job Description for the entry level Financial Analyst: Gathering data. Calling contractors and workers and be ...",Corporate
"San Francisco, CA, US",Senior Software Architect,"About UsGraphScience is a social data and advertising company delivering the highest impact branding and revenue for top retailers, CPGs, and brands. Our powerful technology platform manages and analyzes big data, builds a brand's social graph, and generates advertising performance at scale. ...",High Tech
Redwood City,Customer Success Manager (Social and Real Time Data),Banjo is looking for a highly motivated and talented Customer Success Manager who wants to make an impact. This is a unique opportunity for you to shape and grow one of the most important aspects of the company - the customer experience. As the Customer Success Manager you need to be ...,Arts
"San Mateo, CA, US",Product Marketing Manager,"Listing InfoAbout usWe're Gengo, the people-powered translation platform. We are Tokyo and Silicon Valley-based with over 15,000 translators across 140 countries, translating at a rate of four words per second. Our investors include Recruit, Intel Capital, Atomico, and Japan’s NTT DoCoMo. Our ...",High Tech
"San Francisco, CA, US",Director of Native Clients,"Slack is looking for an experienced engineering manager to help manage our native client teams, which includes all mobile and desktop applications. This person will report to the CTO and work closely with the managers and team leads of the various groups.One of the main responsibilities of this ...",Service
"San Francisco, CA, US",iOS Engineer,We are looking for a talented iOS engineer to join the Slack engineering team.Have a deep and abiding love of Cocoa Touch? Then use your extensive knowledge of iOS development to make the Slack mobile experience be the best it can possibly be. Slack on iOS is used by tens of thousands of people ...,Consumer Goods
"San Francisco, CA, US",Android Engineer,We're looking for people who are passionate about creating great Android applications. Are you as comfortable composing efficient layouts that work well across various screen sizes and densities as you are debugging performance issues in the persistence layer? Then we need you!You've been around ...,High Tech
"San Francisco, CA, US",Customer Success Representative,"Listing InfoYou are organized. You are proactive. When your customers have a problem, you feel pain, and you get great joy when you help them improve their business.We're looking for someone to join our growing Customer Success team. You will be responsible for making sure our first ...",Service
"San Francisco, CA, US",Account Manager - San Francisco,The Account Manager ensures the successful adoption and use of Slack across our customer base. This role is the primary point of contact for customers and prospects and also handles all escalation management to the appropriate internal groups.The candidate will understand their customers’ ...,Consumer Goods
San Francisco Bay Area,Event & Field Marketing Lead,"If you get excited about helping teams communicate better, be more productive and happy at work - you’ll fit right in at Slack! We’re looking for a marketing leader who can lead a team and also individually contribute towards building a community of happy customers through meaningful events, ...",Consumer Goods
"San Francisco, CA, US",Corporate Sales Manager,"Listing InfoCorporate Sales ManagerAs a result of continuing growth and market success, Wingz is seeking an experienced Corporate Sales Manager who will evangelize ‘Wingz’s for Business Solutions’; targeting business customers, establishing relationships with targeted corporate partners and ...",Media
"San Francisco, CA, US",Senior Engineer,"About UsGraphScience is a social data and advertising company delivering the highest impact branding and revenue for top retailers, CPGs, and brands. Our powerful technology platform manages and analyzes big data, builds a brand's social graph, and generates advertising performance at scale. ...",High Tech
"San Francisco, CA, US",Technical Sourcer,"Slack is the fastest growing B2B application ever, and our company is experiencing that same growth internally. At Slack, we look at Hiring as a team effort. Our Managers rely on, and trust in, our Recruiting team's expertise and partner with us throughout our structured process. We are looking ...",Consumer Goods
San Francisco -CA,Senior Accountant,"Senior Investment Accountant for a Privately Owned Investment Manager in San FranciscoOur client is a $3 billion investment advisory firm that provides its services to pooled investment vehicles. The firm invests in the public equity, fixed income markets, and alternative asset markets across the...",Finance
San Francisco -CA,Senior Accountant,Senior Accountant for a Well-Funded Startup in San FranciscoFast growing technology startup is looking for a senior accountant. They have just received $50 million funding in Series B and are looking to expand their team full of bright people! This is a tremendous opportunity to work in a ...,Finance
South San francisco -CA,Senior Accountant,"Thriving pharma company is looking for a senior accountant to join its team. This is a newly created role due to growth. The senior accountant would be responsible for the payroll and assist with the close, financial reporting and audits. The company has strong drug pipeline, strong management ...",Transportation
San Francisco Bay Area,DevOps Manager,"The Role: Indiegogo is looking for a talented DevOps Manager who can take on leading our ops team. We are a dynamic small team that works very closely with engineering to manage a number of projects including performance, configuration and database administration. Our app has incredible spikes ...",High Tech
Foster City -CA,Senior Accountant,"Our client, a real estate group, is looking for a senior corporate accountant to become an integral part of the team. The senior corporate accountant would manage a portfolio of entities, drive the close for the entities, and other ad hoc projects. Growth and generous perks.Duties include:Month ...",Finance
San Mateo -CA,Senior Analyst - Investment Portfolio Analysis and Valuation,"Our client, a mission driven investment firm is expanding its portfolio analysis team. The investment firm's mission is directly impact societal change via investments in firm's that focus on financial inclusion, consumer Internet access, access to better education and many other areas that ...",Finance
San Francisco -CA,SF software company looking for Senior G/L Accountant,"Are you looking for a company that has a start-up feel but has the stability of a public company? If you are thinking yes, then this is a role for you. This exciting San Francisco company is in the software/technology industry and has 4,300 customers that include asset managers, hedge funds, ...",Finance
"San Francisco Bay Area, Redwood City",Director of People Operations,"Director, People Operations- Position Summary Banjo is looking for an experienced HR Professional to help design, plan and implement HR programs & polices for staffing, compensation, benefits, employee relations, training to scale our rapidly growing start-up. We work at a very rapid pace where...",Arts
"San Mateo, CA, US",Sales Development Representative,"Listing InfoAbout usWe're Gengo, the people-powered translation platform. We are Tokyo and Silicon Valley-based with over 14,000 translators across 114 countries, translating at a rate of four words per second. Our investors include Intel Capital, Atomico, Iris Capital and Japan’s NTT DoCoMo, ...",High Tech
"Walnut Creek, CA, US",Payroll Analyst,Listing InfoAlgentis – Payroll AnalystJob DescriptionAs a Payroll Analyst you will be a critical member of the Business Platform Team. You will be a part of a team which shares a number of responsibilities that will include entering new client and employee data into our HRIS/Payroll system ...,Corporate
"San Francisco, CA, US",Product Support Manager,Listing InfoThis Product Support Manager search is being managed by Compass Talent Group. We encourage you to apply early for priority consideration since interviews will begin the week of October 26th.Please visit http://compasstalentgroup.applytojob.com/apply to apply and submit a resume and a ...,Arts
"San Francisco, CA, US",Accounts Operations Manager,"We’re looking for an Accounts Operations Manager to help lead our accounts operations functions at Slack! As an Accounts Operations Manager you’d execute on strategic and tactical initiatives that directly contribute to increasing customer adoption, customer engagement, customer ...",Consumer Goods
San Francisco Bay Area,Director of Engagement- South,About BrightBytes: BrightBytes (BB) is a mission-driven organization that is the world’s leading provider of research analytics to K-12 Schools. BB was founded by educators working closely with industry experts who care deeply about learning in the 21st century. The organization’s flagship ...,Corporate
San Francisco Bay Area,"Director of Engagement, Midwest",About BrightBytes: BrightBytes (BB) is a mission-driven organization that is the world’s leading provider of research analytics to K-12 Schools. BB was founded by educators working closely with industry experts who care deeply about learning in the 21st century. The organization’s flagship ...,Corporate
San Francisco Bay Area,Project Coordinator,"Description: Brightworks Sustainability is seeking an experienced, qualified Project Coordinator to join our team. The Project Coordinator position performs important analysis, documentation and coordination tasks for sustainability and green building certification programs and consulting ...",Construction
"San Francisco, CA, US",Advertising Operations Associate,Interested in advertising and B2B marketing? We are looking for recent college graduates or candidates with 1-2 years of working experience to join our growing marketing team. This is an entry level operations position on our advertising team responsible for helping execute advertising programs ...,Media
"San Francisco, CA, US",Data Scientist,"Listing InfoJob DescriptionAt Stitch, the data science team works to drive internal business and product decisions with empirical evidence and experimentation. We are also strong believers that Stitch can bring a similar level of insight to our customers by helping them make decisions around ...",Arts
"Berkeley, CA, US",Senior / Principal Subcontractor Administrator,"Listing Info Senior / Principal Subcontractor Administrator (IT/Construction Procurement Group) Essential Functions Under limited direction, deals directly with the technical and professional requestors in areas of subcontract planning, defining requirements, soliciting sources and ...",Legal
